Term;Main Term;Main Term URI
outer plate of ovipositor;T9;http://purl.obolibrary.org/obo/HAO_0000075
plaques carrees;T9;http://purl.obolibrary.org/obo/HAO_0000075
quadratische platte;T9;http://purl.obolibrary.org/obo/HAO_0000075
quadratplatte;T9;http://purl.obolibrary.org/obo/HAO_0000075
écaille anale;T9;http://purl.obolibrary.org/obo/HAO_0000075
écaille chitineuse;T9;http://purl.obolibrary.org/obo/HAO_0000075
abscissa;abscissa;http://purl.obolibrary.org/obo/HAO_0000076
epithelial cell;epithelial cell;http://purl.obolibrary.org/obo/HAO_0000077
accessory gland;accessory gland;http://purl.obolibrary.org/obo/HAO_0000078
glandula mucosa;accessory gland;http://purl.obolibrary.org/obo/HAO_0000078
accessory ventral condyle;accessory ventral condyle;http://purl.obolibrary.org/obo/HAO_0000079
acetabular carina;acetabular carina;http://purl.obolibrary.org/obo/HAO_0000080
acetabular groove;acetabular groove;http://purl.obolibrary.org/obo/HAO_0000081
acetabulum;acetabulum;http://purl.obolibrary.org/obo/HAO_0000082
acropleural apodeme;acropleural apodeme;http://purl.obolibrary.org/obo/HAO_0000083
acropleural sulcus;acropleural sulcus;http://purl.obolibrary.org/obo/HAO_0000084
anapleural suture;acropleural sulcus;http://purl.obolibrary.org/obo/HAO_0000084
sternopleural suture;acropleural sulcus;http://purl.obolibrary.org/obo/HAO_0000084
acrosternite;acrosternite;http://purl.obolibrary.org/obo/HAO_0000085
aculea;aculea;http://purl.obolibrary.org/obo/HAO_0000086
adult;adult;http://purl.obolibrary.org/obo/HAO_0000087
adult abdomen;adult abdomen;http://purl.obolibrary.org/obo/HAO_0000088
adult tagma;adult tagma;http://purl.obolibrary.org/obo/HAO_0000089
adult thorax;adult thorax;http://purl.obolibrary.org/obo/HAO_0000090
aedeagus;aedeagus;http://purl.obolibrary.org/obo/HAO_0000091
forcipes intermediae;aedeagus;http://purl.obolibrary.org/obo/HAO_0000091
gonapophysis IX male;aedeagus;http://purl.obolibrary.org/obo/HAO_0000091
internal paramera;aedeagus;http://purl.obolibrary.org/obo/HAO_0000091
lamina aedeagales;aedeagus;http://purl.obolibrary.org/obo/HAO_0000091
penis;aedeagus;http://purl.obolibrary.org/obo/HAO_0000091
alinotum;alinotum;http://purl.obolibrary.org/obo/HAO_0000092
anal vein;anal vein;http://purl.obolibrary.org/obo/HAO_0000093
anepisternum;anepisternum;http://purl.obolibrary.org/obo/HAO_0000094
supraepisternum;anepisternum;http://purl.obolibrary.org/obo/HAO_0000094
annellus;annellus;http://purl.obolibrary.org/obo/HAO_0000095
anellus;annellus;http://purl.obolibrary.org/obo/HAO_0000095
annulus;annulus;http://purl.obolibrary.org/obo/HAO_0000096
mere;annulus;http://purl.obolibrary.org/obo/HAO_0000096
anteclypeus;anteclypeus;http://purl.obolibrary.org/obo/HAO_0000097
antecosta;antecosta;http://purl.obolibrary.org/obo/HAO_0000098
antecostal sulcus;antecostal sulcus;http://purl.obolibrary.org/obo/HAO_0000099
cinctus;antecostal sulcus;http://purl.obolibrary.org/obo/HAO_0000099
antemedian mesonotal wing process;antemedian mesonotal wing process;http://purl.obolibrary.org/obo/HAO_0000100
antenna;antenna;http://purl.obolibrary.org/obo/HAO_0000101
Fühler;antenna;http://purl.obolibrary.org/obo/HAO_0000101
antenna cleaner;antenna cleaner;http://purl.obolibrary.org/obo/HAO_0000102
antennal cleaning organ;antenna cleaner;http://purl.obolibrary.org/obo/HAO_0000102
strigil;antenna cleaner;http://purl.obolibrary.org/obo/HAO_0000102
strigilis;antenna cleaner;http://purl.obolibrary.org/obo/HAO_0000102
antennal rim;antennal rim;http://purl.obolibrary.org/obo/HAO_0000103
antennal sclerite;antennal rim;http://purl.obolibrary.org/obo/HAO_0000103
antennal socket;antennal rim;http://purl.obolibrary.org/obo/HAO_0000103
torulus;antennal rim;http://purl.obolibrary.org/obo/HAO_0000103
antennal segment;antennal segment;http://purl.obolibrary.org/obo/HAO_0000104
antennal shelf;antennal shelf;http://purl.obolibrary.org/obo/HAO_0000105
antennal suture;antennal suture;http://purl.obolibrary.org/obo/HAO_0000106
antennomere;antennomere;http://purl.obolibrary.org/obo/HAO_0000107
posterior cranio-mandibular muscle;posterior cranio-mandibular muscle;http://purl.obolibrary.org/obo/HAO_0000108
M. craniomandibularis externus;posterior cranio-mandibular muscle;http://purl.obolibrary.org/obo/HAO_0000108
abductor of the mandible;posterior cranio-mandibular muscle;http://purl.obolibrary.org/obo/HAO_0000108
anterior cranio-mandibular muscle;posterior cranio-mandibular muscle;http://purl.obolibrary.org/obo/HAO_0000108
musculus cranio-extramandibularis;posterior cranio-mandibular muscle;http://purl.obolibrary.org/obo/HAO_0000108
frontal carina;frontal carina;http://purl.obolibrary.org/obo/HAO_0000109
anterior extension of mesofurca;anterior extension of mesofurca;http://purl.obolibrary.org/obo/HAO_0000110
anterior extension of the preaxilla;anterior extension of the preaxilla;http://purl.obolibrary.org/obo/HAO_0000111
anterior glossal sclerite;anterior glossal sclerite;http://purl.obolibrary.org/obo/HAO_0000112
basiglossal sclerite;anterior glossal sclerite;http://purl.obolibrary.org/obo/HAO_0000112
anterior labral retractor;anterior labral retractor;http://purl.obolibrary.org/obo/HAO_0000113
anterior fronto-labral muscle;anterior labral retractor;http://purl.obolibrary.org/obo/HAO_0000113
anterior margin of the speculum;anterior margin of the speculum;http://purl.obolibrary.org/obo/HAO_0000114
anterior mesofurco-mesolaterophragmal muscle;anterior mesofurco-mesolaterophragmal muscle;http://purl.obolibrary.org/obo/HAO_0000115
anterior furcal-laterophragmal muscle;anterior mesofurco-mesolaterophragmal muscle;http://purl.obolibrary.org/obo/HAO_0000115
anterior mesofurco-mesolaterophragmal;anterior mesofurco-mesolaterophragmal muscle;http://purl.obolibrary.org/obo/HAO_0000115
fu2a-ph2;anterior mesofurco-mesolaterophragmal muscle;http://purl.obolibrary.org/obo/HAO_0000115
anterior mesopleural area;anterior mesopleural area;http://purl.obolibrary.org/obo/HAO_0000116
anterior mesopleural sulcus;anterior mesopleural sulcus;http://purl.obolibrary.org/obo/HAO_0000117
anterior mesopleuro-mesofurcal muscle;anterior mesopleuro-mesofurcal muscle;http://purl.obolibrary.org/obo/HAO_0000118
anterior mesopleuro-mesofurcal;anterior mesopleuro-mesofurcal muscle;http://purl.obolibrary.org/obo/HAO_0000118
pl2a-fu2;anterior mesopleuro-mesofurcal muscle;http://purl.obolibrary.org/obo/HAO_0000118
anterior mesopleuro-third axillary sclerite of fore wing muscle;anterior mesopleuro-third axillary sclerite of fore wing muscle;http://purl.obolibrary.org/obo/HAO_0000119
anterior notal wing process;anterior notal wing process;http://purl.obolibrary.org/obo/HAO_0000120
vorderer Tergalhebel;anterior notal wing process;http://purl.obolibrary.org/obo/HAO_0000120
anterior process of the mesofurcal bridge;anterior process of the mesofurcal bridge;http://purl.obolibrary.org/obo/HAO_0000121
anterior process of the pronotum;anterior process of the pronotum;http://purl.obolibrary.org/obo/HAO_0000122
anterior process of the prosternum;anterior process of the prosternum;http://purl.obolibrary.org/obo/HAO_0000123
anterior profurcal lamella;anterior profurcal lamella;http://purl.obolibrary.org/obo/HAO_0000124
anterior rim of pronotum;anterior rim of pronotum;http://purl.obolibrary.org/obo/HAO_0000125
anterior flange of pronotal plate;anterior rim of pronotum;http://purl.obolibrary.org/obo/HAO_0000125
subpronotal plate;anterior rim of pronotum;http://purl.obolibrary.org/obo/HAO_0000125
anterior tentorial pit;anterior tentorial pit;http://purl.obolibrary.org/obo/HAO_0000126
anterior tentorial groove;anterior tentorial pit;http://purl.obolibrary.org/obo/HAO_0000126
antero-dorsal incision of mesopleuron;antero-dorsal incision of mesopleuron;http://purl.obolibrary.org/obo/HAO_0000127
anteroadmedian line;anteroadmedian line;http://purl.obolibrary.org/obo/HAO_0000128
admedian line;anteroadmedian line;http://purl.obolibrary.org/obo/HAO_0000128
anterior admedial line;anteroadmedian line;http://purl.obolibrary.org/obo/HAO_0000128
anterior parallel line;anteroadmedian line;http://purl.obolibrary.org/obo/HAO_0000128
antero-admedian line;anteroadmedian line;http://purl.obolibrary.org/obo/HAO_0000128
anteroadmedian signum;anteroadmedian line;http://purl.obolibrary.org/obo/HAO_0000128
anteromedian line;anteroadmedian line;http://purl.obolibrary.org/obo/HAO_0000128
anterolateral depression of the petiole;anterolateral depression of the petiole;http://purl.obolibrary.org/obo/HAO_0000129
petiolar fovea;anterolateral depression of the petiole;http://purl.obolibrary.org/obo/HAO_0000129
anterolateral mesoscutal corner;anterolateral mesoscutal corner;http://purl.obolibrary.org/obo/HAO_0000130
anteromedian pronotal ridge;anteromedian pronotal ridge;http://purl.obolibrary.org/obo/HAO_0000131
anteroventral pronotal inflection;anteroventral pronotal inflection;http://purl.obolibrary.org/obo/HAO_0000132
anterior pronotal inflection;anteroventral pronotal inflection;http://purl.obolibrary.org/obo/HAO_0000132
antescutal depression;antescutal depression;http://purl.obolibrary.org/obo/HAO_0000133
apex gonostipitis;apex gonostipitis;http://purl.obolibrary.org/obo/HAO_0000134
apophyse principal;apex gonostipitis;http://purl.obolibrary.org/obo/HAO_0000134
apex of the calcar;apex of the calcar;http://purl.obolibrary.org/obo/HAO_0000135
apical clavomere ventral pit;apical clavomere ventral pit;http://purl.obolibrary.org/obo/HAO_0000136
apical flagellomere;apical flagellomere;http://purl.obolibrary.org/obo/HAO_0000137
apical parossiculal seta;apical parossiculal seta;http://purl.obolibrary.org/obo/HAO_0000138
soie subapicale;apical parossiculal seta;http://purl.obolibrary.org/obo/HAO_0000138
volsellar seta;apical parossiculal seta;http://purl.obolibrary.org/obo/HAO_0000138
apical process of the labrum;apical process of the labrum;http://purl.obolibrary.org/obo/HAO_0000139
apical row of spines;apical row of spines;http://purl.obolibrary.org/obo/HAO_0000140
apiceps;apiceps;http://purl.obolibrary.org/obo/HAO_0000141
digiceps;apiceps;http://purl.obolibrary.org/obo/HAO_0000141
apodeme;apodeme;http://purl.obolibrary.org/obo/HAO_0000142
apophysis;apophysis;http://purl.obolibrary.org/obo/HAO_0000143
appendage;appendage;http://purl.obolibrary.org/obo/HAO_0000144
appendage segment;appendage segment;http://purl.obolibrary.org/obo/HAO_0000145
limb segment;appendage segment;http://purl.obolibrary.org/obo/HAO_0000145
area;area;http://purl.obolibrary.org/obo/HAO_0000146
portion of cuticle;area;http://purl.obolibrary.org/obo/HAO_0000146
areolet;areolet;http://purl.obolibrary.org/obo/HAO_0000147
arolium;arolium;http://purl.obolibrary.org/obo/HAO_0000148
central pad;arolium;http://purl.obolibrary.org/obo/HAO_0000148
empodium;arolium;http://purl.obolibrary.org/obo/HAO_0000148
articular line;articular line;http://purl.obolibrary.org/obo/HAO_0000149
articular process;articular process;http://purl.obolibrary.org/obo/HAO_0000150
articulation;articulation;http://purl.obolibrary.org/obo/HAO_0000151
aulax;aulax;http://purl.obolibrary.org/obo/HAO_0000152
auxilia;auxilia;http://purl.obolibrary.org/obo/HAO_0000153
auxiliar sclerite;auxiliar sclerite;http://purl.obolibrary.org/obo/HAO_0000154
auxilia;auxiliar sclerite;http://purl.obolibrary.org/obo/HAO_0000154
auxilium;auxiliar sclerite;http://purl.obolibrary.org/obo/HAO_0000154
axilla;axilla;http://purl.obolibrary.org/obo/HAO_0000155
parascutellum;axilla;http://purl.obolibrary.org/obo/HAO_0000155
postscutum;axilla;http://purl.obolibrary.org/obo/HAO_0000155
praescutellum;axilla;http://purl.obolibrary.org/obo/HAO_0000155
axillar carina;axillar carina;http://purl.obolibrary.org/obo/HAO_0000156
postscutal flange;axillar carina;http://purl.obolibrary.org/obo/HAO_0000156
axillary cord;axillary cord;http://purl.obolibrary.org/obo/HAO_0000157
axillary region;axillary region;http://purl.obolibrary.org/obo/HAO_0000158
axillary sclerite;axillary sclerite;http://purl.obolibrary.org/obo/HAO_0000159
axillula;axillula;http://purl.obolibrary.org/obo/HAO_0000160
axillar pit;axillula;http://purl.obolibrary.org/obo/HAO_0000160
parascutellum;axillula;http://purl.obolibrary.org/obo/HAO_0000160
axillular carina;axillular carina;http://purl.obolibrary.org/obo/HAO_0000161
axillular setae;axillular setae;http://purl.obolibrary.org/obo/HAO_0000162
band;band;http://purl.obolibrary.org/obo/HAO_0000163
bar;bar;http://purl.obolibrary.org/obo/HAO_0000164
basal bridge;basal bridge;http://purl.obolibrary.org/obo/HAO_0000165
basivolsellar bridge;basal bridge;http://purl.obolibrary.org/obo/HAO_0000165
sclerotic bridge uniting bases of volsellae;basal bridge;http://purl.obolibrary.org/obo/HAO_0000165
basal grooves;basal grooves;http://purl.obolibrary.org/obo/HAO_0000166
cannelure basalare;basal grooves;http://purl.obolibrary.org/obo/HAO_0000166
basal hooklets;basal hooklets;http://purl.obolibrary.org/obo/HAO_0000167
gonostipes/volsella complex;gonostipes/volsella complex;http://purl.obolibrary.org/obo/HAO_0000168
basal segment of forceps;gonostipes/volsella complex;http://purl.obolibrary.org/obo/HAO_0000168
gonostipes;gonostipes/volsella complex;http://purl.obolibrary.org/obo/HAO_0000168
basal transverse carina of third abdominal tergite;basal transverse carina of third abdominal tergite;http://purl.obolibrary.org/obo/HAO_0000169
basal ridge;basal transverse carina of third abdominal tergite;http://purl.obolibrary.org/obo/HAO_0000169
basal vein;basal vein;http://purl.obolibrary.org/obo/HAO_0000170
basalare;basalare;http://purl.obolibrary.org/obo/HAO_0000171
basiconic capitate peg sensillum;basiconic capitate peg sensillum;http://purl.obolibrary.org/obo/HAO_0000172
basicosta;basicosta;http://purl.obolibrary.org/obo/HAO_0000173
basicostal suture;basicostal suture;http://purl.obolibrary.org/obo/HAO_0000174
basicoxite;basicoxite;http://purl.obolibrary.org/obo/HAO_0000175
coxomarginale;basicoxite;http://purl.obolibrary.org/obo/HAO_0000175
basisternum;basisternum;http://purl.obolibrary.org/obo/HAO_0000176
basitarsal notch;basitarsal notch;http://purl.obolibrary.org/obo/HAO_0000177
basitarsus;basitarsus;http://purl.obolibrary.org/obo/HAO_0000178
first tarsomere;basitarsus;http://purl.obolibrary.org/obo/HAO_0000178
basiura;basiura;http://purl.obolibrary.org/obo/HAO_0000179
digiura;basiura;http://purl.obolibrary.org/obo/HAO_0000179
basivalvula;basivalvula;http://purl.obolibrary.org/obo/HAO_0000180
blade;blade;http://purl.obolibrary.org/obo/HAO_0000181
body;body;http://purl.obolibrary.org/obo/HAO_0000182
trunk;body;http://purl.obolibrary.org/obo/HAO_0000182
body segment;body segment;http://purl.obolibrary.org/obo/HAO_0000183
somite;body segment;http://purl.obolibrary.org/obo/HAO_0000183
bulla;bulla;http://purl.obolibrary.org/obo/HAO_0000184
calcar;calcar;http://purl.obolibrary.org/obo/HAO_0000185
fibula;calcar;http://purl.obolibrary.org/obo/HAO_0000185
calyx;calyx;http://purl.obolibrary.org/obo/HAO_0000186
Eierkelch;calyx;http://purl.obolibrary.org/obo/HAO_0000186
cardo;cardo;http://purl.obolibrary.org/obo/HAO_0000187
carina;carina;http://purl.obolibrary.org/obo/HAO_0000188
crest;carina;http://purl.obolibrary.org/obo/HAO_0000188
lamella;carina;http://purl.obolibrary.org/obo/HAO_0000188
lamina;carina;http://purl.obolibrary.org/obo/HAO_0000188
ledge;carina;http://purl.obolibrary.org/obo/HAO_0000188
ridge;carina;http://purl.obolibrary.org/obo/HAO_0000188
cenchrus;cenchrus;http://purl.obolibrary.org/obo/HAO_0000189
cercus;cercus;http://purl.obolibrary.org/obo/HAO_0000191
larval pygopod;cercus;http://purl.obolibrary.org/obo/HAO_0000191
penicillus;cercus;http://purl.obolibrary.org/obo/HAO_0000191
pygostyle;cercus;http://purl.obolibrary.org/obo/HAO_0000191
pygostylus;cercus;http://purl.obolibrary.org/obo/HAO_0000191
socius;cercus;http://purl.obolibrary.org/obo/HAO_0000191
cervical apodeme;cervical apodeme;http://purl.obolibrary.org/obo/HAO_0000192
posterior ramus of occipital process;cervical apodeme;http://purl.obolibrary.org/obo/HAO_0000192
cervical prominence;cervical prominence;http://purl.obolibrary.org/obo/HAO_0000193
occipital process of propleuron;cervical prominence;http://purl.obolibrary.org/obo/HAO_0000193
occipital process of the propleuron;cervical prominence;http://purl.obolibrary.org/obo/HAO_0000193
cervical pronotal area;cervical pronotal area;http://purl.obolibrary.org/obo/HAO_0000194
cervical sclerite;cervical sclerite;http://purl.obolibrary.org/obo/HAO_0000195
cervix;cervix;http://purl.obolibrary.org/obo/HAO_0000196
chaetobothria;chaetobothria;http://purl.obolibrary.org/obo/HAO_0000197
chalaza;chalaza;http://purl.obolibrary.org/obo/HAO_0000198
chamber of the metanotum;chamber of the metanotum;http://purl.obolibrary.org/obo/HAO_0000199
cheek;cheek;http://purl.obolibrary.org/obo/HAO_0000200
cibarium;cibarium;http://purl.obolibrary.org/obo/HAO_0000201
sucking pump;cibarium;http://purl.obolibrary.org/obo/HAO_0000201
circumocular ridge;circumocular ridge;http://purl.obolibrary.org/obo/HAO_0000202
clava;clava;http://purl.obolibrary.org/obo/HAO_0000203
antennal clava;clava;http://purl.obolibrary.org/obo/HAO_0000203
club;clava;http://purl.obolibrary.org/obo/HAO_0000203
claval fold;claval fold;http://purl.obolibrary.org/obo/HAO_0000204
claval flexion line;claval fold;http://purl.obolibrary.org/obo/HAO_0000204
claval furrow;claval fold;http://purl.obolibrary.org/obo/HAO_0000204
vannal fold;claval fold;http://purl.obolibrary.org/obo/HAO_0000204
claval lobe;claval lobe;http://purl.obolibrary.org/obo/HAO_0000205
cleaning brush;cleaning brush;http://purl.obolibrary.org/obo/HAO_0000206
closed coxal cavity;closed coxal cavity;http://purl.obolibrary.org/obo/HAO_0000207
club;club;http://purl.obolibrary.org/obo/HAO_0000208
ventral rim of clypeus;ventral rim of clypeus;http://purl.obolibrary.org/obo/HAO_0000209
anteclypeus;ventral rim of clypeus;http://purl.obolibrary.org/obo/HAO_0000209
clypeal apron;ventral rim of clypeus;http://purl.obolibrary.org/obo/HAO_0000209
clypeal lamella;ventral rim of clypeus;http://purl.obolibrary.org/obo/HAO_0000209
